game_id,season,season_id,track,season_type,exemption_reason,team_level_reasons,team_minutes_diff_min,team_minutes_diff_max,played_team_count
27600071,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600085,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600098,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600117,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600192,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600286,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600327,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600375,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600462,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600504,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600584,1976,1976-77,regular,Regular Season,team_no_played_rows,minutes_out_of_tolerance|team_no_played_rows,-197.0,-197.0,1
27600636,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600705,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600735,1976,1976-77,regular,Regular Season,minutes_out_of_tolerance,minutes_out_of_tolerance,0.0,19.0,2
27600760,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600796,1976,1976-77,regular,Regular Season,minutes_out_of_tolerance,minutes_out_of_tolerance,-238.0,0.0,2
27600819,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows,0.0,0.0,1
27600824,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600840,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600853,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27600871,1976,1976-77,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
27700007,1977,1977-78,regular,Regular Season,team_no_played_rows,team_no_played_rows|team_no_played_rows,,,0
