Rank,k=0,k=0.5,k=1,k=1.5,k=2
1,LeBron James (2296.46),LeBron James (2303.45),LeBron James (2310.91),LeBron James (2335.09),LeBron James (2355.27)
2,Michael Jordan (2271.36),Michael Jordan (2272.69),Shaquille O'Neal (2274.66),Shaquille O'Neal (2284.54),Shaquille O'Neal (2293.72)
3,Shai Gilgeous-Alexander (2261.59),Shaquille O'Neal (2267.30),Michael Jordan (2273.88),Michael Jordan (2280.46),Michael Jordan (2291.32)
4,Shaquille O'Neal (2261.15),Shai Gilgeous-Alexander (2261.18),Shai Gilgeous-Alexander (2261.39),Shai Gilgeous-Alexander (2261.90),Shai Gilgeous-Alexander (2262.93)
5,Joel Embiid (2252.07),Nikola Jokic (2243.93),Nikola Jokic (2247.34),Nikola Jokic (2250.52),Nikola Jokic (2253.50)
6,Nikola Jokic (2248.69),Joel Embiid (2239.01),Kevin Durant (2235.63),Kevin Durant (2236.27),Tim Duncan (2249.77)
7,David Robinson (2245.58),David Robinson (2235.32),David Robinson (2232.02),Tim Duncan (2235.23),Dwyane Wade (2236.95)
8,Kevin Durant (2233.60),Kevin Durant (2234.75),Joel Embiid (2227.70),David Robinson (2233.54),Kevin Durant (2236.69)
9,Russell Westbrook (2214.98),Russell Westbrook (2220.26),Russell Westbrook (2224.73),Dwyane Wade (2229.88),David Robinson (2235.05)
10,James Harden (2209.58),Dwyane Wade (2213.51),Dwyane Wade (2222.12),Russell Westbrook (2228.54),Russell Westbrook (2231.81)
