Rank,Player,Peak ELO,Date,Opponent,Result,Game Type,Stats
1,LeBron James,2310.91,2009-05-28,Magic,W 112-102,East Finals G5,"37 PTS, 14 REB, 12 AST, 1 STL, 1 BLK"
2,Shaquille O'Neal,2274.66,2000-05-20,Trail Blazers,W 109-94,West Finals G1,"41 PTS, 11 REB, 7 AST, 0 STL, 5 BLK"
3,Michael Jordan,2273.88,1988-02-27,Bucks,L 91-94,Regular,"38 PTS, 2 REB, 3 AST, 3 STL, 3 BLK"
4,SGA,2261.39,2025-12-23,Spurs,L 110-130,Regular,"33 PTS, 3 REB, 8 AST, 0 STL, 0 BLK"
5,Nikola Jokic,2247.34,2025-01-23,Kings,W 132-123,Regular,"35 PTS, 22 REB, 17 AST, 1 STL, 2 BLK"
6,Kevin Durant,2235.63,2014-03-30,Jazz,W 116-96,Regular,"31 PTS, 4 REB, 9 AST, 1 STL, 0 BLK"
7,David Robinson,2232.02,1994-04-28,Jazz,W 106-89,Round1 G1,"25 PTS, 8 REB, 7 AST, 1 STL, 3 BLK"
8,Joel Embiid,2227.7,2024-01-22,Spurs,W 133-123,Regular,"70 PTS, 18 REB, 5 AST, 1 STL, 1 BLK"
9,Russell Westbrook,2224.73,2017-04-05,Grizzlies,W 103-100,Regular,"45 PTS, 9 REB, 10 AST, 4 STL, 0 BLK"
10,Dwyane Wade,2222.12,2007-02-13,Trail Blazers,W 104-85,Regular,"35 PTS, 3 REB, 5 AST, 2 STL, 3 BLK"
