season,players,minutes_weighted_mean,weighted_p10,weighted_p25,weighted_median,weighted_p75,weighted_p90,unweighted_mean,unweighted_median,unweighted_sd,top_rating
1977,295.0,1459.55205819028,1229.255462428043,1308.7867214556018,1434.8061334466931,1616.7050621815697,1723.932833533304,1370.7300942595728,1333.94434895693,185.25249997400718,2035.90559633773
1978,285.0,1496.1907955087304,1281.8815738367675,1346.7814853239397,1492.2131221780955,1618.3902822968405,1729.6216729637376,1415.9043042293856,1381.0379162818629,174.08954293355436,2023.9818661253405
1979,280.0,1523.1056170203183,1300.2156207336698,1377.471172732775,1513.8474518552855,1661.5449906214965,1762.276320957789,1445.1586566610424,1414.528930080603,168.3322349191525,2009.8710675641423
1980,287.0,1540.7902467324225,1323.716838354607,1412.3319417760422,1539.3296705251034,1649.3229425329932,1770.1021971527273,1461.164119514964,1422.8138400476737,168.9745859856629,1997.7360804857656
1981,304.0,1549.1317305616915,1335.9598026728686,1417.6795113657738,1537.1182045524774,1670.5063282318438,1749.4180233165537,1471.8995566969095,1430.651122907844,163.94653035522592,1982.6436104629595
1982,316.0,1570.210143986194,1351.9116549897076,1425.7455460680478,1562.1673115553697,1691.0266429087949,1794.2444027693225,1483.5190866617809,1439.1674816586715,167.54946502889553,2094.405919747107
1983,316.0,1587.6555301069805,1362.2086888999074,1449.72248106901,1574.2797362790593,1703.0966407846215,1830.3608480474272,1499.5906214070797,1457.5555595306432,173.31774798698643,2046.878983532035
1984,310.0,1609.5682410823845,1381.5615275245082,1476.2014804386922,1591.557169344022,1731.2925244703908,1852.00657861146,1513.7879036352588,1475.9878884285354,174.51596849445855,2097.968418823699
1985,314.0,1615.6194434984734,1371.0363939129377,1467.2146663657754,1607.9711186147842,1750.0694760274744,1870.6538342318308,1517.5798074011987,1469.596278432121,175.8270519480013,2085.1400813917344
1986,325.0,1610.562740302431,1375.088272145828,1469.7886145704126,1592.970803173506,1738.251067108129,1825.2470048416592,1522.5648364965493,1488.8507076650742,174.21567496352066,2106.508379297662
1987,335.0,1624.9938731869183,1392.4329682385833,1477.325636024637,1604.6301226673436,1753.9370929294523,1850.3177104870983,1524.8711217680795,1479.8813053724562,180.06901389613864,2193.390507629406
1988,332.0,1633.538632224958,1394.8020995012412,1495.6789055939398,1617.360975018727,1755.4465006090022,1867.592214833007,1525.758649428167,1489.6393493284481,180.59826143389202,2224.553352872316
1989,353.0,1631.5769031586276,1399.1772308701495,1488.0628023889026,1625.096711380792,1741.5828638605444,1859.0224658876684,1526.3831454784222,1479.274090563167,181.7033767347615,2250.306411803543
1990,382.0,1633.3296768413486,1388.9742209401793,1488.973298511777,1615.315824456943,1747.7612062870785,1885.4283909875703,1525.332275321932,1473.2162397858003,182.82189046423517,2215.0283332400218
1991,388.0,1634.4149301140951,1393.5377386663413,1492.0713257381017,1617.9570734497636,1748.021986429817,1879.834200561648,1528.5404707851148,1471.4539278327638,182.60374647595967,2228.250731607169
1992,385.0,1639.3763048348455,1403.971527120143,1503.8038388063585,1628.0060943998203,1759.076880102036,1875.0590995143684,1530.6443913723615,1492.3668151833474,180.58891111704813,2185.55602612461
1993,389.0,1640.481873629623,1417.358845870507,1494.5752408928815,1642.9584501215556,1760.227241772041,1860.8715906447385,1535.2272853130985,1489.2679028740156,179.40884315182572,2212.040315576563
1994,402.0,1640.6314148401484,1409.3127197448744,1513.3281074493889,1630.2393284830366,1760.4270522292666,1863.5339848236335,1528.2947163636916,1492.390073880158,174.72253015897533,2203.420229071177
1995,407.0,1640.142602624567,1409.377990933653,1498.203425713177,1640.6211381559997,1751.4750570150711,1887.0176803858149,1531.9092275971184,1485.9144365291768,179.6496720840038,2158.967790029488
1996,429.0,1640.1442576031288,1409.6508727044495,1503.3567562616784,1636.7009141608692,1760.9126849362162,1878.765123755344,1534.1054423835164,1493.3131114216842,177.57119432346587,2181.4156710843263
1997,440.0,1647.8919485031759,1416.823582623355,1508.527239291076,1639.6510418653943,1763.9174279832323,1900.0461397546392,1532.5659768208072,1480.0995329242596,176.64892275748568,2173.7501072103364
