game_date,full_name,rating_after,prev_best,opponent,result,game_type,game_id,player_id,team_id
1976-10-21,Jim Ard,1184.05,,Pacers,W 122-129,Regular,27600004,76055,1610612738
1976-10-21,Tom Boswell,1403.9,1184.05,Pacers,W 122-129,Regular,27600004,76213,1610612738
1976-10-21,Dave Cowens,1511.85,1403.9,Pacers,W 122-129,Regular,27600004,76462,1610612738
1976-10-21,John Havlicek,1688.34,1511.85,Pacers,W 122-129,Regular,27600004,76970,1610612738
1976-10-21,Mike Newlin,1697.16,1688.34,Hawks,W 104-120,Regular,27600006,77710,1610612745
1976-10-22,Doug Collins,1736.68,1697.16,Spurs,L 118-121,Regular,27600008,76421,1610612755
1976-10-22,Kevin Porter,1750.86,1736.68,Kings,W 96-99,Regular,27600012,77876,1610612765
1976-10-28,Dan Issel,1771.55,1750.86,Bucks,W 119-100,Regular,27600036,77097,1610612743
1976-10-29,Kareem Abdul-Jabbar,1772.09,1771.55,Hawks,W 118-101,Regular,27600041,76003,1610612747
1976-11-02,Pete Maravich,1825.85,1772.09,Celtics,W 115-97,Regular,27600063,77459,1610612762
1976-11-05,Pete Maravich,1843.08,1825.85,Spurs,W 127-119,Regular,27600073,77459,1610612762
1976-11-07,Pete Maravich,1845.13,1843.08,Pistons,L 107-115,Regular,27600087,77459,1610612762
1976-11-07,Bob Lanier,1884.0,1845.13,Jazz,W 107-115,Regular,27600087,600005,1610612765
1976-11-09,Kareem Abdul-Jabbar,1898.47,1884.0,Braves,L 116-121,Regular,27600093,76003,1610612747
1976-11-10,Kareem Abdul-Jabbar,1902.69,1898.47,Celtics,L 112-117,Regular,27600099,76003,1610612747
1976-11-10,Bob Lanier,1931.4,1902.69,Cavaliers,W 123-112,Regular,27600101,600005,1610612765
1976-11-12,Bob Lanier,1935.21,1931.4,Knicks,W 111-97,Regular,27600115,600005,1610612765
1976-11-19,Kareem Abdul-Jabbar,1949.01,1935.21,Warriors,W 121-99,Regular,27600148,76003,1610612747
1976-11-21,Kareem Abdul-Jabbar,2002.6,1949.01,Nets,W 96-91,Regular,27600161,76003,1610612747
1976-11-23,Kareem Abdul-Jabbar,2028.71,2002.6,Bucks,W 114-117,Regular,27600164,76003,1610612747
1977-01-25,Kareem Abdul-Jabbar,2029.02,2028.71,SuperSonics,W 120-109,Regular,27600480,76003,1610612747
1977-01-30,Kareem Abdul-Jabbar,2032.86,2029.02,Jazz,W 101-99,Regular,27600509,76003,1610612747
1977-02-01,Kareem Abdul-Jabbar,2039.54,2032.86,Bucks,W 136-115,Regular,27600514,76003,1610612747
1977-12-13,Kareem Abdul-Jabbar,2041.77,2039.54,Jazz,L 94-117,Regular,27700280,76003,1610612747
1977-12-16,Kareem Abdul-Jabbar,2043.38,2041.77,SuperSonics,L 90-98,Regular,27700295,76003,1610612747
1977-12-25,Kareem Abdul-Jabbar,2060.16,2043.38,SuperSonics,W 96-111,Regular,27700338,76003,1610612747
1982-02-17,Moses Malone,2066.64,2060.16,Cavaliers,W 102-110,Regular,28100585,77449,1610612745
1982-02-19,Moses Malone,2078.68,2066.64,Nets,W 96-103,Regular,28100594,77449,1610612745
1982-02-23,Moses Malone,2079.93,2078.68,Mavericks,W 105-95,Regular,28100616,77449,1610612745
1982-02-27,Moses Malone,2085.07,2079.93,Mavericks,L 105-108,Regular,28100638,77449,1610612745
1982-03-02,Moses Malone,2091.07,2085.07,Spurs,L 117-119,Regular,28100657,77449,1610612745
1982-03-05,Moses Malone,2091.38,2091.07,Celtics,L 98-100,Regular,28100673,77449,1610612745
1982-03-07,Moses Malone,2100.02,2091.38,Suns,W 92-94,Regular,28100689,77449,1610612745
1982-03-13,Moses Malone,2109.35,2100.02,Trail Blazers,W 112-107,Regular,28100722,77449,1610612745
1982-03-16,Moses Malone,2110.7,2109.35,Suns,L 109-114,Regular,28100739,77449,1610612745
1982-03-28,Moses Malone,2112.82,2110.7,Warriors,W 92-94,Regular,28100810,77449,1610612745
1982-03-30,Moses Malone,2125.09,2112.82,Mavericks,W 99-95,Regular,28100823,77449,1610612745
1982-04-01,Moses Malone,2125.99,2125.09,Warriors,W 104-101,Regular,28100836,77449,1610612745
1985-01-26,Michael Jordan,2144.38,2125.99,Hawks,W 117-104,Regular,28400496,893,1610612741
1985-01-30,Michael Jordan,2165.51,2144.38,Bullets,L 95-106,Regular,28400521,893,1610612741
1985-02-05,Michael Jordan,2189.86,2165.51,Celtics,L 106-110,Regular,28400555,893,1610612741
1987-04-13,Michael Jordan,2193.26,2189.86,Bucks,W 107-114,Regular,28600903,893,1610612741
1987-04-16,Michael Jordan,2204.03,2193.26,Hawks,L 114-117,Regular,28600921,893,1610612741
1987-11-18,Michael Jordan,2208.67,2204.03,Bullets,W 82-84,Regular,28700079,893,1610612741
1987-11-20,Michael Jordan,2214.52,2208.67,Hawks,W 94-92,Regular,28700092,893,1610612741
1987-12-15,Michael Jordan,2214.56,2214.52,Pistons,L 123-127,Regular,28700219,893,1610612741
1987-12-17,Michael Jordan,2226.42,2214.56,Cavaliers,W 111-100,Regular,28700229,893,1610612741
1987-12-19,Michael Jordan,2227.64,2226.42,Bullets,L 96-109,Regular,28700245,893,1610612741
1987-12-22,Michael Jordan,2230.54,2227.64,Mavericks,L 100-111,Regular,28700260,893,1610612741
1988-01-18,Michael Jordan,2233.38,2230.54,Bullets,W 117-103,Regular,28700400,893,1610612741
1988-01-19,Michael Jordan,2235.69,2233.38,Hawks,L 94-106,Regular,28700404,893,1610612741
1988-01-22,Michael Jordan,2244.65,2235.69,Suns,W 118-108,Regular,28700416,893,1610612741
1988-01-23,Michael Jordan,2251.21,2244.65,Warriors,W 121-94,Regular,28700425,893,1610612741
1988-01-29,Michael Jordan,2255.18,2251.21,Nets,W 120-93,Regular,28700455,893,1610612741
1988-02-01,Michael Jordan,2256.81,2255.18,Kings,L 95-97,Regular,28700472,893,1610612741
1988-02-02,Michael Jordan,2257.35,2256.81,Lakers,L 101-110,Regular,28700480,893,1610612741
1988-02-04,Michael Jordan,2260.26,2257.35,Suns,W 101-113,Regular,28700490,893,1610612741
1988-02-19,Michael Jordan,2267.27,2260.26,Kings,W 111-90,Regular,28700568,893,1610612741
1988-02-21,Michael Jordan,2269.82,2267.27,Cavaliers,L 111-113,Regular,28700573,893,1610612741
1988-02-23,Michael Jordan,2273.08,2269.82,SuperSonics,W 104-97,Regular,28700588,893,1610612741
1988-02-27,Michael Jordan,2273.88,2273.08,Bucks,L 91-94,Regular,28700615,893,1610612741
2000-05-20,Shaquille O'Neal,2274.66,2273.88,Trail Blazers,W 109-94,Playoffs,49900069,406,1610612747
2009-04-24,LeBron James,2274.73,2274.66,Pistons,W 68-79,Playoffs,40800103,2544,1610612739
2009-04-26,LeBron James,2279.32,2274.73,Pistons,W 78-99,Playoffs,40800104,2544,1610612739
2009-05-05,LeBron James,2283.97,2279.32,Hawks,W 99-72,Playoffs,40800201,2544,1610612739
2009-05-07,LeBron James,2287.64,2283.97,Hawks,W 105-85,Playoffs,40800202,2544,1610612739
2009-05-09,LeBron James,2298.58,2287.64,Hawks,W 82-97,Playoffs,40800203,2544,1610612739
2009-05-20,LeBron James,2301.88,2298.58,Magic,L 106-107,Playoffs,40800301,2544,1610612739
2009-05-22,LeBron James,2304.04,2301.88,Magic,W 96-95,Playoffs,40800302,2544,1610612739
2009-05-24,LeBron James,2308.48,2304.04,Magic,L 89-99,Playoffs,40800303,2544,1610612739
2009-05-28,LeBron James,2310.91,2308.48,Magic,W 112-102,Playoffs,40800305,2544,1610612739
