player_id,player_name,first_no1_date,last_no1_date,no1_leaderboard_dates,no1_calendar_days,no1_stints,longest_no1_stint_days,longest_no1_stint_dates
893,Michael Jordan,1985-01-14,1998-06-14,1948,3860,22,1510,839
2544,LeBron James,2005-02-11,2022-10-18,1978,3711,29,2236,1249
76003,Kareem Abdul-Jabbar,1976-10-27,1981-11-04,787,1696,16,1081,548
406,Shaquille O'Neal,1998-05-10,2003-01-13,709,1044,11,801,489
203999,Nikola Jokic,2021-11-14,2025-11-18,418,873,29,231,106
203507,Giannis Antetokounmpo,2019-11-03,2025-10-27,447,799,16,337,210
1495,Tim Duncan,1998-03-04,2005-03-01,308,745,18,240,94
764,David Robinson,1991-12-26,1996-01-12,400,719,8,410,246
77449,Moses Malone,1982-02-02,1983-11-29,299,664,2,416,225
1449,Larry Bird,1984-03-02,1986-11-30,300,640,9,291,121
201935,James Harden,2016-11-13,2020-12-29,332,498,17,279,123
1628983,Shai Gilgeous-Alexander,2025-02-12,2026-06-13,288,453,8,206,182
2548,Dwyane Wade,2006-10-31,2007-11-20,177,334,5,323,166
708,Kevin Garnett,2004-01-26,2005-04-08,167,319,15,226,74
203076,Anthony Davis,2014-10-28,2024-10-22,131,288,5,276,119
201566,Russell Westbrook,2016-12-25,2018-01-29,136,287,7,259,108
76504,Adrian Dantley,1980-12-04,1984-04-07,212,243,14,93,81
201939,Stephen Curry,2014-10-29,2016-05-30,195,210,3,206,193
203954,Joel Embiid,2023-02-25,2024-04-29,152,163,9,108,101
252,Karl Malone,1997-03-19,1999-05-25,144,154,15,59,55
201142,Kevin Durant,2014-01-04,2018-10-16,94,99,5,93,88
1503,Tracy McGrady,2003-02-23,2004-11-02,82,91,4,82,78
165,Hakeem Olajuwon,1993-05-08,1995-02-27,69,74,6,51,49
76681,Julius Erving,1980-03-26,1981-02-12,60,73,7,23,21
1629029,Luka Doncic,2022-11-15,2023-01-13,50,52,4,19,19
77459,Pete Maravich,1976-11-02,1977-04-09,14,15,5,7,6
77142,Magic Johnson,1980-11-07,1987-11-06,5,5,2,4,4
600005,Bob Lanier,1976-11-07,1976-11-12,4,5,2,3,3
977,Kobe Bryant,2007-10-30,2007-11-12,4,4,2,3,3
76421,Doug Collins,1976-10-23,1976-10-26,3,4,1,4,3
202695,Kawhi Leonard,2019-10-22,2020-12-22,3,3,2,2,2
78450,Bill Walton,1976-12-26,1976-12-28,2,3,1,3,2
77876,Kevin Porter,1976-10-21,1976-10-22,2,2,1,2,2
77097,Dan Issel,1976-10-28,1976-10-28,1,1,1,1,1
947,Allen Iverson,2005-11-01,2005-11-01,1,1,1,1,1
