player_id,player_name,stint_id,start_date,end_date,leaderboard_dates,calendar_days
2544,LeBron James,181,2007-11-21,2014-01-03,1249,2236
893,Michael Jordan,67,1987-11-07,1991-12-25,839,1510
76003,Kareem Abdul-Jabbar,20,1977-04-10,1980-03-25,548,1081
406,Shaquille O'Neal,124,1999-11-03,2002-01-11,489,801
893,Michael Jordan,69,1991-12-27,1993-05-07,317,498
893,Michael Jordan,88,1996-01-13,1997-03-18,265,431
77449,Moses Malone,44,1982-02-02,1983-03-24,225,416
764,David Robinson,77,1994-01-02,1995-02-15,246,410
2544,LeBron James,168,2005-11-02,2006-06-20,210,363
893,Michael Jordan,65,1986-12-02,1987-06-14,165,339
203507,Giannis Antetokounmpo,236,2020-01-20,2020-10-11,105,337
2548,Dwyane Wade,175,2006-12-11,2007-06-14,166,323
203507,Giannis Antetokounmpo,240,2020-12-30,2021-11-13,210,319
1449,Larry Bird,64,1986-02-14,1986-11-30,120,291
764,David Robinson,85,1995-04-04,1996-01-09,126,281
1449,Larry Bird,56,1984-04-08,1985-01-13,121,281
201935,James Harden,227,2019-01-16,2019-06-13,123,279
893,Michael Jordan,96,1997-05-19,1998-02-20,125,278
203076,Anthony Davis,193,2015-01-28,2015-10-30,119,276
893,Michael Jordan,63,1985-05-14,1986-02-13,111,276
201566,Russell Westbrook,209,2017-01-31,2017-06-12,108,259
893,Michael Jordan,108,1998-05-27,1998-06-14,9,254
77449,Moses Malone,46,1983-03-27,1983-11-29,74,248
1495,Tim Duncan,127,2002-03-27,2002-11-21,87,240
1495,Tim Duncan,135,2003-06-04,2004-01-25,94,236
203999,Nikola Jokic,276,2023-05-01,2023-12-17,79,231
708,Kevin Garnett,142,2004-03-21,2004-06-15,74,226
76003,Kareem Abdul-Jabbar,42,1981-03-26,1981-11-04,35,224
201939,Stephen Curry,194,2015-10-31,2016-05-23,193,206
1628983,Shai Gilgeous-Alexander,302,2025-11-19,2026-06-13,182,206
2544,LeBron James,166,2005-04-09,2005-06-23,58,206
76003,Kareem Abdul-Jabbar,24,1980-04-22,1980-10-30,31,192
2544,LeBron James,189,2014-04-23,2014-06-15,40,188
2544,LeBron James,222,2018-04-18,2018-06-08,40,181
203999,Nikola Jokic,255,2022-04-21,2022-06-16,40,180
1628983,Shai Gilgeous-Alexander,296,2025-05-01,2025-10-26,41,179
203999,Nikola Jokic,284,2024-04-30,2024-06-17,34,175
893,Michael Jordan,73,1993-05-20,1993-06-20,21,169
2544,LeBron James,197,2016-06-02,2016-11-12,26,164
1495,Tim Duncan,123,1999-06-25,1999-11-02,2,131
203999,Nikola Jokic,287,2024-10-24,2025-02-11,106,111
203954,Joel Embiid,277,2023-12-18,2024-04-03,101,108
201142,Kevin Durant,186,2014-01-11,2014-04-13,88,93
76504,Adrian Dantley,47,1983-11-30,1984-03-01,81,93
2544,LeBron James,192,2014-10-30,2015-01-27,88,90
76504,Adrian Dantley,43,1981-11-05,1982-01-28,74,89
76003,Kareem Abdul-Jabbar,16,1976-12-29,1977-03-25,78,87
1503,Tracy McGrady,132,2003-03-02,2003-05-22,78,82
2544,LeBron James,225,2018-10-18,2019-01-06,79,81
406,Shaquille O'Neal,126,2002-01-15,2002-03-26,66,71
201935,James Harden,233,2019-11-11,2020-01-14,63,65
406,Shaquille O'Neal,116,1999-03-10,1999-05-09,59,61
252,Karl Malone,102,1998-03-11,1998-05-08,55,59
203507,Giannis Antetokounmpo,252,2022-02-08,2022-04-06,51,58
406,Shaquille O'Neal,128,2002-11-22,2003-01-13,52,53
201935,James Harden,219,2018-01-30,2018-03-23,47,53
165,Hakeem Olajuwon,74,1993-11-05,1993-12-25,49,51
893,Michael Jordan,59,1985-01-19,1985-03-10,45,51
1628983,Shai Gilgeous-Alexander,292,2025-03-03,2025-04-19,45,48
2544,LeBron James,216,2017-12-06,2018-01-19,44,45
252,Karl Malone,91,1997-03-25,1997-05-07,40,44
1495,Tim Duncan,137,2004-01-27,2004-03-09,39,43
708,Kevin Garnett,154,2004-12-31,2005-02-10,42,42
203999,Nikola Jokic,266,2023-01-14,2023-02-24,36,42
1495,Tim Duncan,129,2003-01-14,2003-02-22,36,40
201935,James Harden,200,2016-11-17,2016-12-23,36,38
76003,Kareem Abdul-Jabbar,38,1981-02-13,1981-03-17,30,33
1449,Larry Bird,62,1985-04-12,1985-05-12,24,32
2544,LeBron James,170,2006-11-01,2006-11-28,27,28
203507,Giannis Antetokounmpo,242,2021-11-17,2021-12-12,25,26
76681,Julius Erving,27,1980-11-11,1980-12-03,21,23
203954,Joel Embiid,275,2023-04-08,2023-04-30,21,23
203999,Nikola Jokic,251,2022-01-17,2022-02-07,22,22
203507,Giannis Antetokounmpo,258,2022-10-24,2022-11-14,21,22
2544,LeBron James,220,2018-03-24,2018-04-14,19,22
406,Shaquille O'Neal,120,1999-05-27,1999-06-16,12,22
708,Kevin Garnett,144,2004-11-03,2004-11-23,21,21
76003,Kareem Abdul-Jabbar,10,1976-11-13,1976-12-02,17,20
764,David Robinson,81,1995-02-28,1995-03-18,19,19
1629029,Luka Doncic,261,2022-11-29,2022-12-17,19,19
1629029,Luka Doncic,265,2022-12-27,2023-01-13,18,18
203954,Joel Embiid,271,2023-03-07,2023-03-24,18,18
1449,Larry Bird,60,1985-03-11,1985-03-27,17,17
2544,LeBron James,155,2005-02-11,2005-02-27,13,17
76681,Julius Erving,37,1981-01-27,1981-02-12,12,17
76681,Julius Erving,21,1980-03-26,1980-04-10,11,16
893,Michael Jordan,61,1985-03-28,1985-04-11,15,15
201566,Russell Westbrook,211,2017-10-19,2017-11-02,15,15
2544,LeBron James,212,2017-11-03,2017-11-17,15,15
1495,Tim Duncan,151,2004-12-11,2004-12-25,14,15
76504,Adrian Dantley,55,1984-03-25,1984-04-07,13,14
893,Michael Jordan,82,1995-03-19,1995-03-31,13,13
406,Shaquille O'Neal,114,1999-02-24,1999-03-08,13,13
1629029,Luka Doncic,259,2022-11-15,2022-11-27,12,13
76003,Kareem Abdul-Jabbar,18,1977-03-27,1977-04-08,11,13
76003,Kareem Abdul-Jabbar,31,1980-12-26,1981-01-06,11,12
76504,Adrian Dantley,30,1980-12-14,1980-12-25,10,12
2544,LeBron James,160,2005-03-13,2005-03-23,11,11
201935,James Harden,202,2016-12-26,2017-01-05,11,11
1628983,Shai Gilgeous-Alexander,298,2025-10-28,2025-11-07,11,11
2544,LeBron James,214,2017-11-22,2017-12-02,10,11
76003,Kareem Abdul-Jabbar,14,1976-12-15,1976-12-25,9,11
252,Karl Malone,97,1998-02-21,1998-03-02,10,10
2544,LeBron James,177,2007-11-02,2007-11-11,10,10
201935,James Harden,206,2017-01-16,2017-01-25,10,10
201935,James Harden,229,2019-10-24,2019-11-02,10,10
203999,Nikola Jokic,243,2021-12-13,2021-12-22,10,10
203999,Nikola Jokic,272,2023-03-25,2023-04-02,9,10
203999,Nikola Jokic,253,2022-04-07,2022-04-16,8,10
203999,Nikola Jokic,278,2024-04-04,2024-04-12,8,10
252,Karl Malone,111,1999-02-09,1999-02-17,9,9
406,Shaquille O'Neal,118,1999-05-11,1999-05-19,9,9
203076,Anthony Davis,226,2019-01-07,2019-01-15,9,9
203999,Nikola Jokic,295,2025-04-22,2025-04-30,9,9
76003,Kareem Abdul-Jabbar,22,1980-04-11,1980-04-18,5,9
203999,Nikola Jokic,289,2025-02-13,2025-02-21,3,9
76504,Adrian Dantley,34,1981-01-14,1981-01-21,8,8
203999,Nikola Jokic,301,2025-11-11,2025-11-18,8,8
1449,Larry Bird,52,1984-03-11,1984-03-18,7,8
893,Michael Jordan,106,1998-05-17,1998-05-24,6,8
76681,Julius Erving,25,1980-10-31,1980-11-06,7,7
165,Hakeem Olajuwon,80,1995-02-21,1995-02-27,7,7
252,Karl Malone,95,1997-05-12,1997-05-18,7,7
2544,LeBron James,172,2006-11-30,2006-12-06,7,7
2548,Dwyane Wade,180,2007-11-14,2007-11-20,7,7
201566,Russell Westbrook,203,2017-01-06,2017-01-12,7,7
201935,James Harden,217,2018-01-20,2018-01-26,7,7
77459,Pete Maravich,11,1976-12-03,1976-12-09,6,7
165,Hakeem Olajuwon,72,1993-05-13,1993-05-18,6,7
252,Karl Malone,119,1999-05-20,1999-05-25,6,7
2544,LeBron James,187,2014-04-14,2014-04-20,5,7
1495,Tim Duncan,147,2004-11-30,2004-12-05,6,6
203507,Giannis Antetokounmpo,230,2019-11-03,2019-11-08,6,6
203507,Giannis Antetokounmpo,246,2022-01-01,2022-01-06,6,6
76504,Adrian Dantley,32,1981-01-07,1981-01-11,5,6
2544,LeBron James,195,2016-05-24,2016-05-28,5,6
203507,Giannis Antetokounmpo,238,2020-12-23,2020-12-28,5,6
1495,Tim Duncan,133,2003-05-23,2003-05-27,4,6
203954,Joel Embiid,279,2024-04-14,2024-04-19,4,6
406,Shaquille O'Neal,104,1998-05-10,1998-05-13,3,6
1503,Tracy McGrady,134,2003-05-29,2003-05-29,1,6
77459,Pete Maravich,6,1976-11-02,1976-11-06,5,5
76504,Adrian Dantley,28,1980-12-04,1980-12-08,5,5
76681,Julius Erving,29,1980-12-09,1980-12-13,5,5
1495,Tim Duncan,131,2003-02-25,2003-03-01,5,5
708,Kevin Garnett,159,2005-03-08,2005-03-12,5,5
203999,Nikola Jokic,257,2022-10-19,2022-10-23,5,5
203999,Nikola Jokic,262,2022-12-18,2022-12-22,5,5
203999,Nikola Jokic,270,2023-03-02,2023-03-06,5,5
203999,Nikola Jokic,280,2024-04-20,2024-04-24,5,5
1628983,Shai Gilgeous-Alexander,290,2025-02-22,2025-02-26,5,5
2544,LeBron James,164,2005-04-01,2005-04-05,4,5
203507,Giannis Antetokounmpo,244,2021-12-23,2021-12-27,4,5
76003,Kareem Abdul-Jabbar,5,1976-10-29,1976-11-01,4,4
77142,Magic Johnson,26,1980-11-07,1980-11-10,4,4
76504,Adrian Dantley,53,1984-03-19,1984-03-22,4,4
764,David Robinson,75,1993-12-26,1993-12-29,4,4
893,Michael Jordan,90,1997-03-21,1997-03-24,4,4
252,Karl Malone,100,1998-03-06,1998-03-09,4,4
708,Kevin Garnett,138,2004-03-10,2004-03-13,4,4
1495,Tim Duncan,139,2004-03-14,2004-03-17,4,4
1495,Tim Duncan,145,2004-11-24,2004-11-27,4,4
2544,LeBron James,158,2005-03-04,2005-03-07,4,4
708,Kevin Garnett,161,2005-03-24,2005-03-27,4,4
201935,James Harden,208,2017-01-27,2017-01-30,4,4
201935,James Harden,213,2017-11-18,2017-11-21,4,4
201935,James Harden,235,2020-01-16,2020-01-19,4,4
203999,Nikola Jokic,245,2021-12-28,2021-12-31,4,4
