player_id,player_name,stint_id,start_date,end_date,leaderboard_dates,calendar_days,best_rank
252,Karl Malone,4,1987-12-26,2002-01-03,2765,5123,1
165,Hakeem Olajuwon,8,1986-11-01,1997-02-26,2101,3771,1
1449,Larry Bird,7,1980-12-13,1990-02-06,1722,3343,1
2544,LeBron James,5,2007-10-31,2014-06-15,1412,2554,1
1495,Tim Duncan,2,1998-01-15,2004-06-15,1294,2483,1
76003,Kareem Abdul-Jabbar,1,1976-10-22,1982-12-10,1119,2241,1
764,David Robinson,2,1990-11-03,1996-06-16,1206,2190,1
893,Michael Jordan,4,1987-11-07,1993-06-20,1189,2190,1
121,Patrick Ewing,7,1990-02-15,1995-12-02,1140,2117,4
406,Shaquille O'Neal,5,1997-11-07,2002-06-12,941,1817,1
76504,Adrian Dantley,10,1979-12-06,1984-06-12,848,1786,1
56,Gary Payton,2,1996-06-14,2001-01-16,818,1678,3
77142,Magic Johnson,8,1980-03-28,1984-06-12,750,1673,1
977,Kobe Bryant,4,2006-11-03,2011-05-07,1013,1647,1
2544,LeBron James,7,2018-10-18,2022-12-08,858,1513,1
76681,Julius Erving,22,1979-03-28,1983-04-12,719,1477,1
77142,Magic Johnson,11,1986-11-01,1990-06-14,783,1462,1
2544,LeBron James,6,2014-10-30,2018-06-08,829,1447,1
77449,Moses Malone,5,1980-04-06,1984-03-15,676,1440,1
893,Michael Jordan,5,1995-03-19,1998-06-14,685,1419,1
787,Charles Barkley,2,1986-03-21,1989-06-13,643,1323,2
2548,Dwyane Wade,10,2009-10-28,2013-05-05,759,1286,2
255,Grant Hill,5,1996-11-01,2000-04-24,696,1271,4
201142,Kevin Durant,7,2015-10-28,2019-03-30,783,1250,1
76804,George Gervin,13,1979-10-13,1983-02-01,617,1208,2
787,Charles Barkley,3,1989-11-04,1992-06-14,596,1098,2
202695,Kawhi Leonard,4,2018-10-17,2021-07-20,596,1098,1
764,David Robinson,3,1996-12-10,1999-12-06,527,1092,2
977,Kobe Bryant,1,2000-11-12,2003-06-15,610,1080,2
708,Kevin Garnett,5,1999-12-14,2002-06-12,580,1050,4
1717,Dirk Nowitzki,10,2003-12-25,2006-06-20,577,1041,2
203076,Anthony Davis,6,2014-01-10,2016-06-19,551,1019,1
1503,Tracy McGrady,4,2001-02-03,2003-06-15,528,997,1
406,Shaquille O'Neal,3,1993-04-06,1995-06-14,468,941,2
203076,Anthony Davis,9,2018-10-17,2021-04-25,524,922,1
1122,Dominique Wilkins,7,1986-11-01,1989-04-11,541,893,4
17,Clyde Drexler,5,1987-11-06,1990-03-05,506,851,5
201939,Stephen Curry,4,2014-10-29,2017-02-14,525,840,1
600005,Bob Lanier,1,1976-10-21,1979-02-01,466,834,1
2730,Dwight Howard,7,2010-10-28,2013-01-20,451,816,2
76504,Adrian Dantley,11,1984-11-09,1987-01-26,449,809,2
76673,Alex English,19,1985-04-07,1987-04-17,388,741,4
76753,World Free,1,1978-12-28,1981-01-04,375,739,3
937,Scottie Pippen,13,1994-01-28,1996-02-04,418,738,5
1503,Tracy McGrady,5,2003-10-29,2005-06-23,422,734,1
203999,Nikola Jokic,15,2022-10-19,2024-06-17,418,734,1
201142,Kevin Durant,3,2010-10-27,2012-06-21,371,734,2
977,Kobe Bryant,2,2003-11-01,2005-06-23,419,731,2
2548,Dwyane Wade,7,2005-11-02,2007-06-14,416,727,1
101108,Chris Paul,11,2012-10-31,2014-06-15,414,727,2
787,Charles Barkley,4,1992-11-07,1994-06-22,403,727,4
1495,Tim Duncan,8,2006-11-02,2008-06-17,413,726,2
201939,Stephen Curry,7,2017-03-15,2019-03-09,420,725,2
201935,James Harden,10,2016-10-26,2018-06-08,415,720,1
1713,Vince Carter,7,2000-02-05,2002-01-22,408,718,2
304,John Stockton,4,1988-12-07,1990-11-21,378,716,4
406,Shaquille O'Neal,6,2002-11-22,2004-06-15,397,711,1
2397,Yao Ming,3,2006-11-18,2008-06-17,397,710,3
134,Kevin Johnson,2,1989-12-26,1991-11-25,370,700,6
947,Allen Iverson,7,1998-04-08,2000-03-07,293,700,3
203954,Joel Embiid,21,2021-11-26,2023-06-12,388,697,1
203076,Anthony Davis,25,2023-11-29,2025-06-22,385,692,1
185,Chris Webber,15,2001-12-09,2003-06-15,373,688,4
947,Allen Iverson,21,2004-12-14,2006-06-20,379,686,1
406,Shaquille O'Neal,4,1995-12-15,1997-06-13,365,686,3
202695,Kawhi Leonard,2,2015-12-03,2017-06-12,378,684,3
893,Michael Jordan,2,1984-12-22,1986-06-08,331,678,1
121,Patrick Ewing,30,1997-04-12,1999-02-17,266,677,5
304,John Stockton,7,1991-01-15,1992-11-20,344,676,4
201565,Derrick Rose,5,2010-12-28,2012-06-21,310,672,3
203507,Giannis Antetokounmpo,4,2020-12-23,2022-06-16,403,664,1
1628369,Jayson Tatum,14,2023-12-27,2025-06-22,361,664,2
185,Chris Webber,14,2000-01-07,2001-06-15,354,662,2
76804,George Gervin,12,1977-12-25,1979-06-01,307,656,2
78041,Jeff Ruland,2,1983-04-06,1985-01-07,296,643,3
78318,Isiah Thomas,13,1984-05-21,1986-01-30,291,620,3
297,Alonzo Mourning,33,1999-02-21,2000-06-19,316,618,4
1122,Dominique Wilkins,19,1992-05-21,1994-01-27,295,617,6
600014,Artis Gilmore,5,1978-02-03,1979-06-01,272,616,2
201935,James Harden,8,2014-02-19,2015-06-16,305,615,2
1628983,Shai Gilgeous-Alexander,5,2024-10-24,2026-06-13,421,597,1
1629029,Luka Doncic,8,2024-10-24,2026-06-13,421,597,2
1717,Dirk Nowitzki,14,2009-03-31,2010-06-17,269,574,3
17,Clyde Drexler,14,1991-04-13,1992-06-14,246,573,4
1450,Kevin McHale,7,1986-04-17,1987-06-14,227,568,4
101108,Chris Paul,10,2011-04-17,2012-06-21,207,562,2
77498,Bob McAdoo,6,1977-10-22,1979-04-04,332,530,2
977,Kobe Bryant,9,2012-05-18,2013-06-20,234,529,3
304,John Stockton,15,1993-12-07,1995-05-06,345,516,6
1495,Tim Duncan,3,2004-11-03,2006-03-09,333,492,1
77160,Marques Johnson,2,1978-10-14,1980-02-16,297,491,3
201142,Kevin Durant,12,2021-06-18,2022-06-16,233,487,3
201939,Stephen Curry,20,2021-02-08,2022-05-25,348,472,2
77626,Sidney Moncrief,10,1982-12-23,1984-04-04,269,469,2
