season,games,players_per_game,players_per_team_game,mean_game_max_z,mean_game_min_z,player_team_stints,teams,distinct_players_used_per_team,league_players,unique_players_per_team
1976,881,20.308740068104427,10.154370034052214,2.3246888254640004,-1.3596558403581362,328,22,14.909090909090908,295,13.409090909090908
1977,881,19.664018161180476,9.832009080590238,2.3055340751009994,-1.3995569860974804,330,22,15.0,285,12.954545454545455
1978,884,19.712669683257918,9.856334841628959,2.2526578634954495,-1.4005101416315417,312,22,14.181818181818182,280,12.727272727272727
1979,894,19.615212527964207,9.807606263982104,2.258906481615335,-1.417476925216306,323,22,14.681818181818182,287,13.045454545454545
1980,938,19.739872068230277,9.869936034115138,2.268457584573948,-1.4338151478581926,334,23,14.521739130434783,304,13.217391304347826
1981,930,20.448387096774194,10.224193548387097,2.340622242484453,-1.3822294256946543,344,23,14.956521739130435,315,13.695652173913043
1982,936,20.47008547008547,10.235042735042734,2.303020808137302,-1.3985185217254408,355,23,15.434782608695652,316,13.73913043478261
1983,941,20.718384697130713,10.359192348565356,2.296276678873654,-1.3993362421180375,328,23,14.26086956521739,310,13.478260869565217
1984,700,20.35857142857143,10.179285714285715,2.2890861986970465,-1.3785583953590042,334,23,14.521739130434783,314,13.652173913043478
1985,931,20.570354457572503,10.285177228786251,2.2672279471651127,-1.4114588880527363,354,23,15.391304347826088,325,14.130434782608695
1986,942,20.415074309978767,10.207537154989383,2.3300920996862886,-1.3719281621521902,357,23,15.521739130434783,335,14.565217391304348
1987,943,20.398727465535526,10.199363732767763,2.318474912732665,-1.3663963380417965,380,23,16.52173913043478,332,14.434782608695652
1988,1022,20.52054794520548,10.26027397260274,2.326585493238418,-1.3612422870520302,396,25,15.84,353,14.12
1989,1107,20.317073170731707,10.158536585365853,2.327825158435309,-1.354735546301997,421,27,15.592592592592593,381,14.11111111111111
1990,1106,20.36889692585895,10.184448462929476,2.3277888432150795,-1.3648323028224543,415,27,15.37037037037037,387,14.333333333333334
1991,1106,20.23508137432188,10.11754068716094,2.2683956501982787,-1.3849844845369699,424,27,15.703703703703704,385,14.25925925925926
1992,1097,20.299908842297175,10.149954421148587,2.3161469910825665,-1.3776512873035287,420,27,15.555555555555555,389,14.407407407407407
1993,1097,20.37556973564266,10.18778486782133,2.3013110273428454,-1.3781203106421716,443,27,16.40740740740741,402,14.88888888888889
1994,1107,20.26287262872629,10.131436314363144,2.311693785725621,-1.381307483816274,430,27,15.925925925925926,407,15.074074074074074
1995,1189,20.10597140454163,10.052985702270815,2.3199239304904804,-1.3665271817233773,489,29,16.862068965517242,429,14.793103448275861
1996,1188,19.707912457912457,9.853956228956228,2.28790249644792,-1.3765278652737447,510,29,17.586206896551722,440,15.172413793103448
1997,1189,19.96551724137931,9.982758620689655,2.2843091224363463,-1.3953895169989614,494,29,17.03448275862069,439,15.137931034482758
1998,725,20.353103448275863,10.176551724137932,2.3342800409228524,-1.3966754156680434,474,29,16.344827586206897,440,15.172413793103448
1999,1189,20.249789739276704,10.124894869638352,2.33145829681952,-1.3829816813242466,467,29,16.103448275862068,438,15.10344827586207
2000,1189,19.954583683767872,9.977291841883936,2.3562405998904246,-1.371031265680116,489,29,16.862068965517242,440,15.172413793103448
2001,1189,19.884777123633306,9.942388561816653,2.312885288340335,-1.3851859862923157,469,29,16.17241379310345,440,15.172413793103448
2002,1189,19.93776282590412,9.96888141295206,2.3693096345698033,-1.3569013089308575,456,29,15.724137931034482,428,14.758620689655173
2003,1189,19.902439024390244,9.951219512195122,2.324528620997774,-1.3822824485710323,517,29,17.82758620689655,442,15.241379310344827
2004,1229,20.06021155410903,10.030105777054516,2.3227282324038483,-1.3794020787775145,526,30,17.533333333333335,464,15.466666666666667
2005,1230,19.95528455284553,9.977642276422765,2.3627672487950098,-1.337602194813375,510,30,17.0,457,15.233333333333333
2006,1230,20.083739837398372,10.041869918699186,2.333803192603598,-1.3705890516173733,485,30,16.166666666666668,457,15.233333333333333
2007,1230,20.034959349593496,10.017479674796748,2.3034110741152447,-1.372743990643581,526,30,17.533333333333335,451,15.033333333333333
2008,1230,19.848780487804877,9.924390243902439,2.3096616999194026,-1.3686000238419838,514,30,17.133333333333333,445,14.833333333333334
2009,1230,19.960162601626017,9.980081300813008,2.305047402390381,-1.3894673387847392,511,30,17.033333333333335,441,14.7
2010,1230,20.244715447154473,10.122357723577236,2.2865132767990466,-1.3964052898065256,542,30,18.066666666666666,452,15.066666666666666
2011,990,20.7979797979798,10.3989898989899,2.318082395654987,-1.4076665906928811,515,30,17.166666666666668,478,15.933333333333334
2012,1229,20.73393002441009,10.366965012205045,2.2874378321386146,-1.4172904622529516,522,30,17.4,468,15.6
2013,1230,20.565040650406505,10.282520325203253,2.311708233099248,-1.4153126161360257,548,30,18.266666666666666,482,16.066666666666666
2014,1230,20.895934959349592,10.447967479674796,2.3423442100289353,-1.4440645951125934,575,30,19.166666666666668,492,16.4
2015,1230,21.034959349593496,10.517479674796748,2.3376350344231462,-1.419771825100558,528,30,17.6,476,15.866666666666667
2016,1230,21.083739837398372,10.541869918699186,2.400641694552119,-1.3944556885241721,540,30,18.0,485,16.166666666666668
2017,1230,21.047967479674796,10.523983739837398,2.361434291364096,-1.4182655109941995,604,30,20.133333333333333,539,17.966666666666665
2018,1230,21.052845528455286,10.526422764227643,2.3592646589090465,-1.4100281326983335,616,30,20.533333333333335,526,17.533333333333335
2019,1059,20.977337110481585,10.488668555240793,2.373728202717031,-1.4048375374346065,590,30,19.666666666666668,528,17.6
2020,1080,21.149074074074075,10.574537037037038,2.3562795559850698,-1.3968157876903584,626,30,20.866666666666667,540,18.0
2021,1230,20.996747967479674,10.498373983739837,2.3547195924992597,-1.4064242732412837,712,30,23.733333333333334,602,20.066666666666666
2022,1230,20.883739837398373,10.441869918699187,2.395461282941338,-1.3776302567596397,609,30,20.3,539,17.966666666666665
2023,1230,21.215447154471544,10.607723577235772,2.375733495076851,-1.374059627450714,654,30,21.8,570,19.0
2024,1223,21.388389206868357,10.694194603434179,2.366555362877369,-1.3848994553742224,654,30,21.8,569,18.966666666666665
2025,1230,21.665040650406503,10.832520325203252,2.3664492561160304,-1.4098061486342917,661,30,22.033333333333335,582,19.4
